"","word","sentiment","lexicon","score"
"481","conspiracy",NA,"AFINN",-3
"482","constrained",NA,"AFINN",-2
"483","contagion",NA,"AFINN",-2
"484","contagions",NA,"AFINN",-2
"485","contagious",NA,"AFINN",-1
"486","contempt",NA,"AFINN",-2
"487","contemptuous",NA,"AFINN",-2
"488","contemptuously",NA,"AFINN",-2
"489","contend",NA,"AFINN",-1
"490","contender",NA,"AFINN",-1
"491","contending",NA,"AFINN",-1
"492","contentious",NA,"AFINN",-2
"493","contestable",NA,"AFINN",-2
"494","controversial",NA,"AFINN",-2
"495","controversially",NA,"AFINN",-2
"496","convince",NA,"AFINN",1
"497","convinced",NA,"AFINN",1
"498","convinces",NA,"AFINN",1
"499","convivial",NA,"AFINN",2
"500","cool",NA,"AFINN",1
"501","cool stuff",NA,"AFINN",3
"502","cornered",NA,"AFINN",-2
"503","corpse",NA,"AFINN",-1
"504","costly",NA,"AFINN",-2
"505","courage",NA,"AFINN",2
"506","courageous",NA,"AFINN",2
"507","courteous",NA,"AFINN",2
"508","courtesy",NA,"AFINN",2
"509","cover-up",NA,"AFINN",-3
"510","coward",NA,"AFINN",-2
"511","cowardly",NA,"AFINN",-2
"512","coziness",NA,"AFINN",2
"513","cramp",NA,"AFINN",-1
"514","crap",NA,"AFINN",-3
"515","crash",NA,"AFINN",-2
"516","crazier",NA,"AFINN",-2
"517","craziest",NA,"AFINN",-2
"518","crazy",NA,"AFINN",-2
"519","creative",NA,"AFINN",2
"520","crestfallen",NA,"AFINN",-2
"521","cried",NA,"AFINN",-2
"522","cries",NA,"AFINN",-2
"523","crime",NA,"AFINN",-3
"524","criminal",NA,"AFINN",-3
"525","criminals",NA,"AFINN",-3
"526","crisis",NA,"AFINN",-3
"527","critic",NA,"AFINN",-2
"528","criticism",NA,"AFINN",-2
"529","criticize",NA,"AFINN",-2
"530","criticized",NA,"AFINN",-2
"531","criticizes",NA,"AFINN",-2
"532","criticizing",NA,"AFINN",-2
"533","critics",NA,"AFINN",-2
"534","cruel",NA,"AFINN",-3
"535","cruelty",NA,"AFINN",-3
"536","crush",NA,"AFINN",-1
"537","crushed",NA,"AFINN",-2
"538","crushes",NA,"AFINN",-1
"539","crushing",NA,"AFINN",-1
"540","cry",NA,"AFINN",-1
"541","crying",NA,"AFINN",-2
"542","cunt",NA,"AFINN",-5
"543","curious",NA,"AFINN",1
"544","curse",NA,"AFINN",-1
"545","cut",NA,"AFINN",-1
"546","cute",NA,"AFINN",2
"547","cuts",NA,"AFINN",-1
"548","cutting",NA,"AFINN",-1
"549","cynic",NA,"AFINN",-2
"550","cynical",NA,"AFINN",-2
"551","cynicism",NA,"AFINN",-2
"552","damage",NA,"AFINN",-3
"553","damages",NA,"AFINN",-3
"554","damn",NA,"AFINN",-4
"555","damned",NA,"AFINN",-4
"556","damnit",NA,"AFINN",-4
"557","danger",NA,"AFINN",-2
"558","daredevil",NA,"AFINN",2
"559","daring",NA,"AFINN",2
"560","darkest",NA,"AFINN",-2
"561","darkness",NA,"AFINN",-1
"562","dauntless",NA,"AFINN",2
"563","dead",NA,"AFINN",-3
"564","deadlock",NA,"AFINN",-2
"565","deafening",NA,"AFINN",-1
"566","dear",NA,"AFINN",2
"567","dearly",NA,"AFINN",3
"568","death",NA,"AFINN",-2
"569","debonair",NA,"AFINN",2
"570","debt",NA,"AFINN",-2
"571","deceit",NA,"AFINN",-3
"572","deceitful",NA,"AFINN",-3
"573","deceive",NA,"AFINN",-3
"574","deceived",NA,"AFINN",-3
"575","deceives",NA,"AFINN",-3
"576","deceiving",NA,"AFINN",-3
"577","deception",NA,"AFINN",-3
"578","decisive",NA,"AFINN",1
"579","dedicated",NA,"AFINN",2
"580","defeated",NA,"AFINN",-2
"581","defect",NA,"AFINN",-3
"582","defects",NA,"AFINN",-3
"583","defender",NA,"AFINN",2
"584","defenders",NA,"AFINN",2
"585","defenseless",NA,"AFINN",-2
"586","defer",NA,"AFINN",-1
"587","deferring",NA,"AFINN",-1
"588","defiant",NA,"AFINN",-1
"589","deficit",NA,"AFINN",-2
"590","degrade",NA,"AFINN",-2
"591","degraded",NA,"AFINN",-2
"592","degrades",NA,"AFINN",-2
"593","dehumanize",NA,"AFINN",-2
"594","dehumanized",NA,"AFINN",-2
"595","dehumanizes",NA,"AFINN",-2
"596","dehumanizing",NA,"AFINN",-2
"597","deject",NA,"AFINN",-2
"598","dejected",NA,"AFINN",-2
"599","dejecting",NA,"AFINN",-2
"600","dejects",NA,"AFINN",-2
"601","delay",NA,"AFINN",-1
"602","delayed",NA,"AFINN",-1
"603","delight",NA,"AFINN",3
"604","delighted",NA,"AFINN",3
"605","delighting",NA,"AFINN",3
"606","delights",NA,"AFINN",3
"607","demand",NA,"AFINN",-1
"608","demanded",NA,"AFINN",-1
"609","demanding",NA,"AFINN",-1
"610","demands",NA,"AFINN",-1
"611","demonstration",NA,"AFINN",-1
"612","demoralized",NA,"AFINN",-2
"613","denied",NA,"AFINN",-2
"614","denier",NA,"AFINN",-2
"615","deniers",NA,"AFINN",-2
"616","denies",NA,"AFINN",-2
"617","denounce",NA,"AFINN",-2
"618","denounces",NA,"AFINN",-2
"619","deny",NA,"AFINN",-2
"620","denying",NA,"AFINN",-2
"621","depressed",NA,"AFINN",-2
"622","depressing",NA,"AFINN",-2
"623","derail",NA,"AFINN",-2
"624","derailed",NA,"AFINN",-2
"625","derails",NA,"AFINN",-2
"626","deride",NA,"AFINN",-2
"627","derided",NA,"AFINN",-2
"628","derides",NA,"AFINN",-2
"629","deriding",NA,"AFINN",-2
"630","derision",NA,"AFINN",-2
"631","desirable",NA,"AFINN",2
"632","desire",NA,"AFINN",1
"633","desired",NA,"AFINN",2
"634","desirous",NA,"AFINN",2
"635","despair",NA,"AFINN",-3
"636","despairing",NA,"AFINN",-3
"637","despairs",NA,"AFINN",-3
"638","desperate",NA,"AFINN",-3
"639","desperately",NA,"AFINN",-3
"640","despondent",NA,"AFINN",-3
"641","destroy",NA,"AFINN",-3
"642","destroyed",NA,"AFINN",-3
"643","destroying",NA,"AFINN",-3
"644","destroys",NA,"AFINN",-3
"645","destruction",NA,"AFINN",-3
"646","destructive",NA,"AFINN",-3
"647","detached",NA,"AFINN",-1
"648","detain",NA,"AFINN",-2
"649","detained",NA,"AFINN",-2
"650","detention",NA,"AFINN",-2
"651","determined",NA,"AFINN",2
"652","devastate",NA,"AFINN",-2
"653","devastated",NA,"AFINN",-2
"654","devastating",NA,"AFINN",-2
"655","devoted",NA,"AFINN",3
"656","diamond",NA,"AFINN",1
"657","dick",NA,"AFINN",-4
"658","dickhead",NA,"AFINN",-4
"659","die",NA,"AFINN",-3
"660","died",NA,"AFINN",-3
"661","difficult",NA,"AFINN",-1
"662","diffident",NA,"AFINN",-2
"663","dilemma",NA,"AFINN",-1
"664","dipshit",NA,"AFINN",-3
"665","dire",NA,"AFINN",-3
"666","direful",NA,"AFINN",-3
"667","dirt",NA,"AFINN",-2
"668","dirtier",NA,"AFINN",-2
"669","dirtiest",NA,"AFINN",-2
"670","dirty",NA,"AFINN",-2
"671","disabling",NA,"AFINN",-1
"672","disadvantage",NA,"AFINN",-2
"673","disadvantaged",NA,"AFINN",-2
"674","disappear",NA,"AFINN",-1
"675","disappeared",NA,"AFINN",-1
"676","disappears",NA,"AFINN",-1
"677","disappoint",NA,"AFINN",-2
"678","disappointed",NA,"AFINN",-2
"679","disappointing",NA,"AFINN",-2
"680","disappointment",NA,"AFINN",-2
"681","disappointments",NA,"AFINN",-2
"682","disappoints",NA,"AFINN",-2
"683","disaster",NA,"AFINN",-2
"684","disasters",NA,"AFINN",-2
"685","disastrous",NA,"AFINN",-3
"686","disbelieve",NA,"AFINN",-2
"687","discard",NA,"AFINN",-1
"688","discarded",NA,"AFINN",-1
"689","discarding",NA,"AFINN",-1
"690","discards",NA,"AFINN",-1
"691","disconsolate",NA,"AFINN",-2
"692","disconsolation",NA,"AFINN",-2
"693","discontented",NA,"AFINN",-2
"694","discord",NA,"AFINN",-2
"695","discounted",NA,"AFINN",-1
"696","discouraged",NA,"AFINN",-2
"697","discredited",NA,"AFINN",-2
"698","disdain",NA,"AFINN",-2
"699","disgrace",NA,"AFINN",-2
"700","disgraced",NA,"AFINN",-2
"701","disguise",NA,"AFINN",-1
"702","disguised",NA,"AFINN",-1
"703","disguises",NA,"AFINN",-1
"704","disguising",NA,"AFINN",-1
"705","disgust",NA,"AFINN",-3
"706","disgusted",NA,"AFINN",-3
"707","disgusting",NA,"AFINN",-3
"708","disheartened",NA,"AFINN",-2
"709","dishonest",NA,"AFINN",-2
"710","disillusioned",NA,"AFINN",-2
"711","disinclined",NA,"AFINN",-2
"712","disjointed",NA,"AFINN",-2
"713","dislike",NA,"AFINN",-2
"714","dismal",NA,"AFINN",-2
"715","dismayed",NA,"AFINN",-2
"716","disorder",NA,"AFINN",-2
"717","disorganized",NA,"AFINN",-2
"718","disoriented",NA,"AFINN",-2
"719","disparage",NA,"AFINN",-2
"720","disparaged",NA,"AFINN",-2
"721","disparages",NA,"AFINN",-2
"722","disparaging",NA,"AFINN",-2
"723","displeased",NA,"AFINN",-2
"724","dispute",NA,"AFINN",-2
"725","disputed",NA,"AFINN",-2
"726","disputes",NA,"AFINN",-2
"727","disputing",NA,"AFINN",-2
"728","disqualified",NA,"AFINN",-2
"729","disquiet",NA,"AFINN",-2
"730","disregard",NA,"AFINN",-2
"731","disregarded",NA,"AFINN",-2
"732","disregarding",NA,"AFINN",-2
"733","disregards",NA,"AFINN",-2
"734","disrespect",NA,"AFINN",-2
